KEY,ORIGINAL ADDRESS,VALIDATION RESULT,SUGGESTED ADDRESS,INVALID STREET NUMBER/ADDRESS,SIMILARITY RATIO,SIMILARITY LEVEL,SUGGESTED COORDINATES,SUGGESTED PLACE ID,SUGGESTED DPID,CONVERTED_BACK_TO_ORIGINAL_SYD_PAS_SPLIT,CONVERTED_BACK_TO_ORIGINAL_SF,CONVERTED_BACK_TO_ORIGINAL_CMDM,CONVERTED_BACK_TO_ORIGINAL_MINERVA,COLUMN NAME KEY,COLUMN NAME VALUE,GUID,NAMESPACE,SOURCE SYSTEM,SOURCE DATA,SOURCE METADATA,INSTANT MODE,API SERVICE,NOTE
ROYAL_MELBOURNE_GOLF_CLUB,"315 Royal Melboe Ave, Sandringham VIC 3191, Australia",Invalid,"Sandringham VIC 3191, Australia",True,74,"Similar, with some differences",{-37.9533967: 145.0135139},ChIJbfbc1yds1moRgD4uRnhWBBw,TBD,invalid_street_address,invalid_street_address,invalid_street_address,invalid_street_address,['KEY'],['key'],6afab7de-286d-4ced-b851-f4ca153ccf69,myserver.address.sample.golf,pas,data/golf_cc_address.csv,metadata/golf_cc_address.json,False,googlemaps,None
KINGSTON_HEATH_GOLF_CLUB,"420 Springvale Rd, Chenham VIC 3192, Austrlia",Invalid,"420 Springvale Rd, Springvale South VIC 3172, Australia",False,77,"Similar, with some differences",{-37.9643608: 145.1493482},ChIJr8K54qUU1moR3IoGiGvZnZ8,TBD,Invalid PAS CLIENT address: length [55] of single line is bigger than 50,"{'street': ' 420  Springvale Road', 'suburb': 'Springvale South', 'city': 'City of Greater Dandenong', 'state': 'Victoria', 'country': 'Australia', 'post_code': '3172'}","{'street number': '420', 'street': 'Springvale Road', 'suburb': 'Springvale South', 'state': 'Victoria', 'country': 'Australia', 'post_code': '3172'}","{'line1': '420', 'line2': 'Springvale Road', 'suburb': 'Springvale South', 'state': 'Victoria', 'country': 'Australia', 'post_code': '3172'}",['KEY'],['key'],98eb17f8-052f-46c3-8cd8-fa4b55ea3474,myserver.address.sample.golf,pas,data/golf_cc_address.csv,metadata/golf_cc_address.json,False,googlemaps,None
THE_AUSTRALIAN_GOLF_CLUB,"800 Victoria Ave, Rosebery NXW 2039, Australia",Invalid,"Rozelle NSW 2039, Australia",True,63,"Somewhat similar, with significant differences",{-33.8661553: 151.1738213},ChIJ17E7YtKvEmsRcIu6P2t9ARw,TBD,invalid_street_address,invalid_street_address,invalid_street_address,invalid_street_address,['KEY'],['key'],234d7d69-fdfa-490d-9628-1a62ec5264ff,myserver.address.sample.golf,pas,data/golf_cc_address.csv,metadata/golf_cc_address.json,False,googlemaps,None
METROPOLITAN_GOLF_CLUB,"129 Greenhills Rd, Huntingdale VIC 3162, Australia",Invalid,"129 Greenhills Rd, Pakenham VIC 3810, Australia",False,80,"Very similar, with only minor differences",{-38.1024823: 145.4855061},Ei8xMjkgR3JlZW5oaWxscyBSZCwgUGFrZW5oYW0gVklDIDM4MTAsIEF1c3RyYWxpYSIxEi8KFAoSCbd5boWMHdZqEbINZPPt8meiEIEBKhQKEgkx3Y9Gkh3WahEwsQ2epCVaKQ,TBD,"{'address_line_1': '129 Greenhills Rd,', 'address_line_2': 'Pakenham VIC 3810, Australia'}","{'street': ' 129  Greenhills Road', 'suburb': 'Pakenham', 'city': 'Cardinia Shire', 'state': 'Victoria', 'country': 'Australia', 'post_code': '3810'}","{'street number': '129', 'street': 'Greenhills Road', 'suburb': 'Pakenham', 'state': 'Victoria', 'country': 'Australia', 'post_code': '3810'}","{'line1': '129', 'line2': 'Greenhills Road', 'suburb': 'Pakenham', 'state': 'Victoria', 'country': 'Australia', 'post_code': '3810'}",['KEY'],['key'],710d776f-350d-4e45-8ee7-c77817675d6b,myserver.address.sample.golf,pas,data/golf_cc_address.csv,metadata/golf_cc_address.json,False,googlemaps,None
NEW_SOUTH_WALES_GOLF_CLUB,"222 King St, Kensington NSW 2093, Australia",Invalid,"King St, Manly Vale NSW 2093, Australia",False,72,"Similar, with some differences",{-33.782071: 151.2628504},ChIJ1z2Fj7SrEmsRNNfpWG3G4S0,TBD,"{'address_line_1': 'King St, Manly Vale NSW', 'address_line_2': '2093, Australia'}","{'street': ' street_number_na  King Street', 'suburb': 'Manly Vale', 'city': 'Northern Beaches Council', 'state': 'New South Wales', 'country': 'Australia', 'post_code': '2093'}","{'street number': 'street_number_na', 'street': 'King Street', 'suburb': 'Manly Vale', 'state': 'New South Wales', 'country': 'Australia', 'post_code': '2093'}","{'line1': 'street_number_na', 'line2': 'King Street', 'suburb': 'Manly Vale', 'state': 'New South Wales', 'country': 'Australia', 'post_code': '2093'}",['KEY'],['key'],fb74c1ae-6c92-4a73-9610-16dca32669ca,myserver.address.sample.golf,pas,data/golf_cc_address.csv,metadata/golf_cc_address.json,False,googlemaps,None
ROYAL_ADELAIDE_GOLF_CLUB,"Grange Rd, Grange SA 5022, Australia",Valid,"Grange Rd, Grange SA 5022, Australia",False,100,Identical,{-34.9071143: 138.4980773},EiRHcmFuZ2UgUmQsIEdyYW5nZSBTQSA1MDIyLCBBdXN0cmFsaWEiLiosChQKEgkrbUcDyMWwahGZlsdxbtp0IRIUChIJTRzPpWvEsGoRULKOYlQ2AwU,TBD,"{'address_line_1': 'Grange Rd, Grange SA', 'address_line_2': '5022, Australia'}","{'street': ' street_number_na  Grange Road', 'suburb': 'Grange', 'city': 'City of Charles Sturt', 'state': 'South Australia', 'country': 'Australia', 'post_code': '5022'}","{'street number': 'street_number_na', 'street': 'Grange Road', 'suburb': 'Grange', 'state': 'South Australia', 'country': 'Australia', 'post_code': '5022'}","{'line1': 'street_number_na', 'line2': 'Grange Road', 'suburb': 'Grange', 'state': 'South Australia', 'country': 'Australia', 'post_code': '5022'}",['KEY'],['key'],d6831485-e7c3-49ed-a5c5-3f44e3d75d7a,myserver.address.sample.golf,pas,data/golf_cc_address.csv,metadata/golf_cc_address.json,False,googlemaps,None
ROYAL_QUEENSLAND_GOLF_CLUB,"1117 King St, Ascot QLD 4009, Australia",Invalid,"Eagle Farm QLD 4009, Australia",True,67,"Somewhat similar, with significant differences",{-27.4330179: 153.0829858},ChIJA_hrrZVYkWsRADrXJ16jAhw,TBD,invalid_street_address,invalid_street_address,invalid_street_address,invalid_street_address,['KEY'],['key'],8f4c5b0a-eb63-4f7c-b7d1-edb7ad1217f5,myserver.address.sample.golf,pas,data/golf_cc_address.csv,metadata/golf_cc_address.json,False,googlemaps,None
KOOYONGA_GOLF_CLUB,"165 Greenhill Rd, Glenelg SA 5045, Australia",Invalid,"165 Greenhill Rd, Adelaide SA 5000, Australia",False,82,"Very similar, with only minor differences",{-34.9408068: 138.6104467},Ei0xNjUgR3JlZW5oaWxsIFJkLCBBZGVsYWlkZSBTQSA1MDAwLCBBdXN0cmFsaWEiMRIvChQKEglj09k66M6wahGRpW0oe2joFRClASoUChIJ01vHCwzPsGoRXUfTU_xOxBs,TBD,"{'address_line_1': '165 Greenhill Rd,', 'address_line_2': 'Adelaide SA 5000, Australia'}","{'street': ' 165  Greenhill Road', 'suburb': 'Adelaide', 'city': 'City of Unley', 'state': 'South Australia', 'country': 'Australia', 'post_code': '5000'}","{'street number': '165', 'street': 'Greenhill Road', 'suburb': 'Adelaide', 'state': 'South Australia', 'country': 'Australia', 'post_code': '5000'}","{'line1': '165', 'line2': 'Greenhill Road', 'suburb': 'Adelaide', 'state': 'South Australia', 'country': 'Australia', 'post_code': '5000'}",['KEY'],['key'],d6aa7d1a-99b5-44c4-b238-f8b2a8ec229f,myserver.address.sample.golf,pas,data/golf_cc_address.csv,metadata/golf_cc_address.json,False,googlemaps,None
THE_GRANGE_GOLF_CLUB,"220 The Grange Rd, The Grange SA 5022, New Zealand",Invalid,New Zealand,True,37,Different,{-40.900557: 174.885971},ChIJh5Z3Fw4gLG0RM0dqdeIY1rE,TBD,invalid_street_address,invalid_street_address,invalid_street_address,invalid_street_address,['KEY'],['key'],e21abc94-78f8-46d3-9e3c-a90887327e7d,myserver.address.sample.golf,pas,data/golf_cc_address.csv,metadata/golf_cc_address.json,False,googlemaps,None
YARRA_YARRA_GOLF_CLUB,"421 Lower Heidelberg Rd, Heidelberg Heights VIC 3081, Australia",Invalid,"421 Lower Heidelberg Rd, Eaglemont VIC 3084, Australia",False,81,"Very similar, with only minor differences",{-37.7616445: 145.0681419},ChIJh60lU4xG1moRn59M3mEVnwc,TBD,Invalid PAS CLIENT address: length [54] of single line is bigger than 50,"{'street': ' 421  Lower Heidelberg Road', 'suburb': 'Eaglemont', 'city': 'City of Banyule', 'state': 'Victoria', 'country': 'Australia', 'post_code': '3084'}","{'street number': '421', 'street': 'Lower Heidelberg Road', 'suburb': 'Eaglemont', 'state': 'Victoria', 'country': 'Australia', 'post_code': '3084'}","{'line1': '421', 'line2': 'Lower Heidelberg Road', 'suburb': 'Eaglemont', 'state': 'Victoria', 'country': 'Australia', 'post_code': '3084'}",['KEY'],['key'],690e612b-9a26-4542-99ba-2132b402a460,myserver.address.sample.golf,pas,data/golf_cc_address.csv,metadata/golf_cc_address.json,False,googlemaps,None
